d,amp
120,47.53352259428051
130,61.65950018614822
140,85.11380382023764
150,112.2018454301963
173,200.90928126087277
200,340.4081897010009
233,512.8613839913648
270,776.247116628692
315,944.0608762859235
365,1244.5146117713857
420,1412.537544622754
490,1995.2623149688789
570,3090.295432513592
660,4365.158322401661
770,5188.000389289609
890,6237.348354824191
1040,8222.426499470712
1200,9120.108393559096
1400,10715.193052376071
1600,12022.644346174131
1880,15135.612484362071
2180,19054.607179632483
2500,22387.21138568338
3000,28840.31503126606
